z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.03933,0.0101,11.13,0.43,CO(1-0),Saintonge et al. (2017),1,9.1344
0.03936,0.0101,11.04,0.03,CO(1-0),Saintonge et al. (2017),1,9.0444
0.03939,0.0417,11.1,7.86,CO(1-0),Saintonge et al. (2017),0,9.7198
0.03943,0.1364,10.1,0.56,CO(1-0),Saintonge et al. (2017),0,9.2347
0.03951,0.0638,10.09,0.9,CO(1-0),Saintonge et al. (2017),1,8.895
0.03952,0.0526,10.07,1.43,CO(1-0),Saintonge et al. (2017),0,8.7912
0.03952,0.0101,11.18,0.64,CO(1-0),Saintonge et al. (2017),1,9.1844
0.03966,0.0309,10.52,1.28,CO(1-0),Saintonge et al. (2017),1,9.0103
0.03968,0.0204,10.53,0.11,CO(1-0),Saintonge et al. (2017),1,8.8398
0.0398,0.0309,11.09,0.81,CO(1-0),Saintonge et al. (2017),0,9.5803
0.03997,0.1364,10.39,3.38,CO(1-0),Saintonge et al. (2017),0,9.5247
0.04007,0.1364,10.28,6.51,CO(1-0),Saintonge et al. (2017),0,9.4147
0.04046,0.2821,10.18,9.73,CO(1-0),Saintonge et al. (2017),0,9.6303
0.04054,0.087,10.42,3.22,CO(1-0),Saintonge et al. (2017),0,9.3593
0.04083,0.0101,11.07,0.49,CO(1-0),Saintonge et al. (2017),1,9.0744
0.04106,0.0101,10.86,0.09,CO(1-0),Saintonge et al. (2017),1,8.8644
0.04107,0.0101,11.18,2.25,CO(1-0),Saintonge et al. (2017),1,9.1844
0.04107,0.0989,10.55,2.79,CO(1-0),Saintonge et al. (2017),0,9.5452
0.04113,0.0638,10.3,1.82,CO(1-0),Saintonge et al. (2017),0,9.105
0.04115,0.0101,10.62,0.41,CO(1-0),Saintonge et al. (2017),0,8.6244
0.04115,0.0204,10.76,0.04,CO(1-0),Saintonge et al. (2017),1,9.0698
0.04124,0.0417,10.57,17.47,CO(1-0),Saintonge et al. (2017),0,9.1898
0.04138,0.0638,10.55,2.41,CO(1-0),Saintonge et al. (2017),0,9.355
0.04141,0.0989,10.15,2.21,CO(1-0),Saintonge et al. (2017),0,9.1452
0.0416,0.0638,10.55,2.1,CO(1-0),Saintonge et al. (2017),0,9.355
0.04165,0.0101,11.21,0.4,CO(1-0),Saintonge et al. (2017),1,9.2144
0.04168,0.0526,10.72,2.16,CO(1-0),Saintonge et al. (2017),0,9.4412
0.04169,0.0417,10.83,2.34,CO(1-0),Saintonge et al. (2017),0,9.4498
0.04177,0.0204,10.89,0.44,CO(1-0),Saintonge et al. (2017),1,9.1998
0.0418,0.0204,10.95,1.49,CO(1-0),Saintonge et al. (2017),1,9.2598
0.04188,0.0204,11.26,4.58,CO(1-0),Saintonge et al. (2017),0,9.5698
0.04194,0.0204,10.69,0.14,CO(1-0),Saintonge et al. (2017),1,8.9998
0.04206,0.1236,10.6,2.84,CO(1-0),Saintonge et al. (2017),0,9.692
0.04219,0.0638,10.33,0.48,CO(1-0),Saintonge et al. (2017),1,9.135
0.04221,0.0204,10.61,0.08,CO(1-0),Saintonge et al. (2017),1,8.9198
0.04246,0.0101,10.95,0.18,CO(1-0),Saintonge et al. (2017),1,8.9544
0.04247,0.2821,10.49,13.7,CO(1-0),Saintonge et al. (2017),0,9.9403
0.04254,0.2048,10.36,7.28,CO(1-0),Saintonge et al. (2017),0,9.6714
0.0426,0.1905,10.44,16.02,CO(1-0),Saintonge et al. (2017),0,9.7198
0.04274,0.1364,10.9,6.59,CO(1-0),Saintonge et al. (2017),0,10.0347
0.04274,0.0417,10.75,4.41,CO(1-0),Saintonge et al. (2017),0,9.3698
0.04276,0.0526,10.27,1.06,CO(1-0),Saintonge et al. (2017),0,8.9912
0.0428,0.0101,11.17,0.5,CO(1-0),Saintonge et al. (2017),1,9.1744
0.04286,0.1364,10.77,5.51,CO(1-0),Saintonge et al. (2017),0,9.9047
0.04287,0.1494,10.62,3.94,CO(1-0),Saintonge et al. (2017),0,9.7944
0.04302,0.0101,11.04,0.29,CO(1-0),Saintonge et al. (2017),1,9.0444
0.04307,0.0204,11.08,1.05,CO(1-0),Saintonge et al. (2017),0,9.3898
0.04307,0.0204,10.87,0.07,CO(1-0),Saintonge et al. (2017),1,9.1798
0.04318,0.0417,10.8,2.72,CO(1-0),Saintonge et al. (2017),0,9.4198
0.04319,0.0101,11.16,1.11,CO(1-0),Saintonge et al. (2017),0,9.1644
0.04334,0.0101,10.88,0.02,CO(1-0),Saintonge et al. (2017),1,8.8844
0.04337,0.0526,10.6,3.46,CO(1-0),Saintonge et al. (2017),0,9.3212
0.04338,0.2048,10.37,8.57,CO(1-0),Saintonge et al. (2017),0,9.6814
0.04353,0.0753,10.87,5.43,CO(1-0),Saintonge et al. (2017),0,9.7466
0.04368,0.0638,10.37,0.12,CO(1-0),Saintonge et al. (2017),0,9.175
0.04369,0.0309,10.65,0.11,CO(1-0),Saintonge et al. (2017),1,9.1403
0.04383,0.2195,10.74,9.33,CO(1-0),Saintonge et al. (2017),0,10.0815
0.04396,0.0101,11.02,0.21,CO(1-0),Saintonge et al. (2017),1,9.0244
0.04407,0.0309,10.77,2.86,CO(1-0),Saintonge et al. (2017),0,9.2603
0.04419,0.1236,10.01,3.63,CO(1-0),Saintonge et al. (2017),0,9.102
0.04435,0.0101,11.36,0.52,CO(1-0),Saintonge et al. (2017),1,9.3644
0.04439,0.0309,11.21,2.26,CO(1-0),Saintonge et al. (2017),0,9.7003
0.04446,0.0101,11.27,0.53,CO(1-0),Saintonge et al. (2017),1,9.2744
0.04447,0.0101,10.9,0.28,CO(1-0),Saintonge et al. (2017),1,8.9044
0.04451,0.0204,10.62,0.36,CO(1-0),Saintonge et al. (2017),1,8.9298
0.04456,0.0309,10.53,0.07,CO(1-0),Saintonge et al. (2017),1,9.0203
0.0447,0.1765,10.25,5.75,CO(1-0),Saintonge et al. (2017),0,9.4967
0.04471,0.0309,10.68,1.58,CO(1-0),Saintonge et al. (2017),0,9.1703
0.04473,0.0204,10.87,0.07,CO(1-0),Saintonge et al. (2017),1,9.1798
0.04478,0.0101,11.13,1.04,CO(1-0),Saintonge et al. (2017),0,9.1344
0.04497,0.0309,10.71,0.2,CO(1-0),Saintonge et al. (2017),1,9.2003
0.045,0.0309,10.25,0.74,CO(1-0),Saintonge et al. (2017),1,8.7403
0.04525,0.0309,10.97,1.06,CO(1-0),Saintonge et al. (2017),0,9.4603
0.04531,0.1905,10.67,7.4,CO(1-0),Saintonge et al. (2017),0,9.9498
0.04531,0.0101,10.92,0.31,CO(1-0),Saintonge et al. (2017),1,8.9244
0.04547,0.1236,10.64,3.86,CO(1-0),Saintonge et al. (2017),0,9.732
0.04549,0.1905,10.5,11.35,CO(1-0),Saintonge et al. (2017),0,9.7798
0.04572,0.0101,10.98,0.18,CO(1-0),Saintonge et al. (2017),1,8.9844
0.04576,0.0101,11.22,1.06,CO(1-0),Saintonge et al. (2017),1,9.2244
0.0458,0.0417,10.76,0.74,CO(1-0),Saintonge et al. (2017),0,9.3798
0.04583,0.0101,11.33,0.12,CO(1-0),Saintonge et al. (2017),1,9.3344
0.04597,0.0101,11.03,1.47,CO(1-0),Saintonge et al. (2017),0,9.0344
0.04599,0.0204,10.88,0.24,CO(1-0),Saintonge et al. (2017),1,9.1898
0.04607,0.1765,10.4,18.7,CO(1-0),Saintonge et al. (2017),0,9.6467
0.04609,0.1494,11.05,39.74,CO(1-0),Saintonge et al. (2017),0,10.2244
0.04623,0.087,10.45,2,CO(1-0),Saintonge et al. (2017),0,9.3893
0.04623,0.0204,11.33,1.92,CO(1-0),Saintonge et al. (2017),0,9.6398
0.04624,0.0417,10.82,1.36,CO(1-0),Saintonge et al. (2017),1,9.4398
0.04627,0.0309,10.68,0.09,CO(1-0),Saintonge et al. (2017),1,9.1703
0.04628,0.0204,11.16,1.96,CO(1-0),Saintonge et al. (2017),0,9.4698
0.04637,0.1111,10.76,5.74,CO(1-0),Saintonge et al. (2017),0,9.8058
0.0464,0.0526,10.84,1.87,CO(1-0),Saintonge et al. (2017),0,9.5612
